,regular,unl,imp,cau,dmg,vp
regular 1 layers,100.0,100.0,100.0,100.0,100.0,100.0
regular 2 layers,100.0,100.0,100.0,100.0,100.0,100.0
regular 3 layers,100.0,100.0,100.0,100.0,100.0,100.0
